
xml_document_id,ein,orgname,orgnamecrp,ultorg,document_link,dba,subsection_code,period_begin,period_end,change_addr_cbx,change_name_cbx,init_ret_cbx,final_ret_cbx,app_pend_cbx,tot_volunteers,all_year_employees,tot_rev_current,grants_orgs_us,expenses_total,phone,street,suite,city,state,country,zip,principal_name,firstname,middlename,lastname,suffix,web,org_type_corporation_cbx,org_type_trust_cbx,org_type_other_cbx,org_type_association_cbx,formation_year,legal_dom,efile,firm_name,firm_street,firm_city,firm_state,firm_phone,engaged_in_political_act_cbx,officer_loan_outstanding_cbx,officer_loan_provided_cbx,officer_business_rel_cbx,family_business_rel_cbx,officer_in_2orgs_cbx,related_org_cbx,own_controlled_entity_cbx,transfers_related_org_cbx,membership_dues,fundraising,related_orgs,gov_grants,contrib_other,contrib_noncash,contrib_all,service_revenue,total_comp_org,total_comp_related_org,total_comp_other,total_persons_100000,former_1a_cbx,anybody_150000_cbx,anybody_comp_unrelated_cbx,total_contractors,CASH_BOY,CASH_EOY,SAVINGS_BOY,SAVINGS_EOY,PLEDGES_GRANTS_BOY,PLEDGES_GRANTS_EOY,ACCOUNTS_RECEIVABLE_BOY,ACCOUNTS_RECEIVABLE_EOY,QUALIFIED_RECEIVABLE_BOY,QUALIFIED_RECEIVABLE_EOY,DISQUALIFIED_RECEIVABLE_BOY,DISQUALIFIED_RECEIVABLE_EOY,LOANS_RECEIVABLE_BOY,LOANS_RECEIVABLE_EOY,INVEST_PROGRAMS_BOY,INVEST_PROGRAMS_EOY,INTANG_ASSETS_BOY,INTANG_ASSETS_EOY,OTHER_ASSETS_BOY,OTHER_ASSETS_EOY,ASSETS_TOTAL_BOY,ASSETS_TOTAL_EOY,NET_ASSET_CHANGE,FUNDRAISING_MAIL_CBX,FUNDRAISING_EMAIL_CBX,FUNDRAISING_PHONE_CBX,FUNDRAISING_PERSON_CBX,FUNDRAISING_NON_GOV_GRANTS_CBX,FUNDRAISING_GOV_GRANTS_CBX,FUNDRAISING_SPECIAL_EVENTS_CBX,FUNDRAISING_PROF_CBX,FUNDRAISING_TOTAL_GROSS_RECEIPTS,TOTAL_PAID_TO_FUNDRAISER,FUNDRAISING_TOTAL_PAID_ORG,source,mark,orgid,cmteid,filingid,realcode,codesource,displayyear,expoutcands,recipfectot,recipfecattrib,schc,schCtot,dupe
9999462,521733698,LEAGUE OF CONSERVATION VOTERS, INC.,League of Conservation Voters,,https://www.documentcloud.org/documents/3221605-LCV-2015-990.html,,04,2015-01-01 00:00:00,2015-12-31 00:00:00,,,,,,650,114,20431957,3634566,19754215,202-785-8683,1920 L STREET,,800,WASHINGTON,DC,USA,20036,GENE KARP INSKI,,,,,WWW.LCV.ORG,Y,,,,1970,MD,N,GELMAN, ROSENBERG & FREEDMAN,4550 MONTGOMERY AVE SUITE 650N,BETHESDA,MD,301-951-9090,Y,,,,,,Y,,,,,,,20196294,14652,20369847,,585745,0,59517,5,N,Y,N,21,827123,2346390,5343326,5185446,,,,,,,,,,,,,,,16334,18637,8793365,9243824,,Y,Y,Y,Y,Y,,Y,Y,994620,234270,760350,os,a,,,,,,,,,,,,
9999461,753148958,Americans for Prosperity,Americans for Prosperity,,https://www.documentcloud.org/documents/3221497-AFP-2015-990.html,,04,2015-01-01 00:00:00,2015-12-31 00:00:00,,,,,,4658,,44382585,497567,45727933,703-224-3200,1310 N Courthouse,700,Arlington,VA,USA,22201,Tim Phillips,Tim,,Phillips,,www.americansforprosperity.org,Y,,,,2004,DC,N,Capin Crouse LLP,972 Emerson Parkway, STE A,Greenwood,IN,317-885-2620,N,,,,,,Y,,,,,,,44205731,,44205731,,1759702,2137790,303705,1,N,Y,N,49,5929326,4949047,,,,,,,,,,,,,,,,,653697,726760,7611462,6887540,,Y,Y,Y,Y,Y,,,,1782575,206387,1576088,os,,D000024046,C30001051,,,,,,,,,,
9999458,453593119,VETS FOR ECONOMIC FREEDOM TRUST,Vets for Economic Freedom,,https://www.documentcloud.org/documents/3227624-CVA-2015-990.html,CONCERNED VETERANS FOR AMERICA,04,2014-10-01 00:00:00,2015-09-30 00:00:00,,,,,,3970,92,14174523,500,13997969,703-678-4664,1405 S FERN ST,197,ARLINGTON,VA,USA,22202,RANDY LAIR,Randy,,Lair,,WWW.CV4A.ORG,,Y,,,2011,DE,N,BKD, LLP,1201 WALNUT, SUITE 1700,KANSAS CITY,MO,816-221-6300,N,N,N,N,N,N,Y,Y,,,,,,14146971,,14146971,,607437,0,51150,5,n,n,n,4,206047,397776,690508,342285,,,,,,,,,,,,,,,,,1197007,1124353,,,,,,,,,,,,,os,x,,,,Y4000,,2015,,,,,,
9999457,272189012,Ending Spending,Ending Spending,,https://www.documentcloud.org/documents/3226348-Ending-Spending-2015-Form-990.html,,04,2015-01-01 00:00:00,2015-12-31 00:00:00,,,,,,20,3,3054956,705000,3626048,877-829-5500,817 Slaters Lane,,Alexandria,VA,USA,22314,Brian C. Baker,,,,,https://www.documentcloud.org/documents/3226348-Ending-Spending-2015-Form-990.html,y,,,,2011,VA,,ROBERT WATKINS & COMPANY, P.A.,610 S. BOULEVARD,TAMPA,FL,813-254-3369,,,,,,,,,,,,,,3000000,,3000000,,491119,,8329,1,N,Y,N,0,0,26153,,,,,,,,,,,,,,,,,,,0,46296,,,,,,,,,,,,,os,x,,C30001929,12200,J4000,orgmg,2015,,,,,,
9999643,522267268,New Models,New Models,,http://pdfs.citizenaudit.org/2009_06_EO/52-2267268_990O_200812.pdf,,,2008-01-01 00:00:00,2008-12-31 00:00:00,,,,,,0,0,0,491984,599638,,,,,,USA,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS,?,,,10493,,,2008,0,0,0,n,,
9999642,272429741,CENTER FORWARD,Center Forward,,http://990s.foundationcenter.org/990_pdf_archive/272/272429741/272429741_201212_990O.pdf?_ga=1.120303883.2093036525.1476740035,,04,2012-01-01 00:00:00,2012-12-31 00:00:00,,,,,,0,1,3853474,0,5688186,202-550-0888,325 7th Street NW,,Washington,DC,USA,20004,Jeffries Murray,Jeffries,,Murray,,center-forward.org,y,,,,2010,DC,,Mark Heinitz,6433 Burwell Street,Springfield,VA,,y,,,,,,,n,,,,,,3852000,,3852000,,220201,,7414,1,,,,5,1968832,0,,,,,,,,,,,,,,,,,,,1970723,134347,,,,,,,,,,,,,OS,a,,,11326,,,2012,2057089,0,0,y,2206831,
9999641,272429741,BLUE DOG RESEARCH FORUM,Blue Dog Research Forum,,http://pdfs.citizenaudit.org/2011_12_EO/27-2429741_990O_201012.pdf,,04,2010-04-12 00:00:00,2010-12-31 00:00:00,,,x,,,0,0,220000,0,130358,,,,,,USA,,,,,,,,,,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS,?,,,10718,,,2010,0,0,0,n,,
9999456,465187544,Carolina Rising,Carolina Rising,,https://www.documentcloud.org/documents/3226347-Carolina-Rising-2015-Form-990.html,,04,2015-01-01 00:00:00,2015-12-31 00:00:00,,,,,,,,50,67640,134542,844-687-2276,7474 Creedmoor Road,175,Raleigh,NC,USA,27613,Dallas H Woodhouse,Dallas,H,Woodhouse,,carolinarising.org,y,,,,2014,NC,,Heroux & Company,4700 Falls of Neuse Road,Raleigh,NC,919-788-9590,,,,,,,,,,,,,,50000,,50000,,,,,,,,,,80657,13755,,,,,,,,,,,,,,,,,,,80657,13755,,,,,,,,,,,,,os,x,,,12201,,,2015,,,,,,
9999463,271937961,One Nation,One Nation,,https://www.documentcloud.org/documents/3220899-One-Nation-2015-990.html,,04,2015-01-01 00:00:00,2015-12-01 00:00:00,y,,,,,,,10349196,0,7064538,202-370-6600,,,Warrenton,VA,USA,20186,Steven Law,Steven,,Law,,onenationamerica.org,y,,,,2010,VA,N,Atchley & Associates LLP,6850 Austin Center Blvd Ste 180,Austin,TX,301-951-1019,N,,,,,,Y,,,,,,,10348110,,10348110,,,,,,,,,,1087,3350167,,,,,,,,,,,,,,,,,,,1680,3350167,,,,,,,,,,,,,os,,,,,,,,,,,,,
9999640,272429741,CENTER FORWARD,Center Forward,,http://990s.foundationcenter.org/990_pdf_archive/272/272429741/272429741_201212_990O.pdf?_ga=1.120303883.2093036525.1476740035,,04,2011-01-01 00:00:00,2011-12-31 00:00:00,,x,,,,0,1,2244000,0,364825,202-550-0888,325 7th Street NW,,Washington,DC,USA,20004,Jeffries Murray,Jeffries,,Murray,,center-forward.org,y,,,,2010,DC,,Mark Heinitz,6433 Burwell Street,Springfield,VA,,n,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OS,a,,,10719,,,2011,0,0,0,n,,
