xml_document_id,ein,orgname,orgnamecrp,ultorg,document_link,dba,subsection_code,period_begin,period_end,change_addr_cbx,change_name_cbx,init_ret_cbx,final_ret_cbx,app_pend_cbx,tot_volunteers,all_year_employees,tot_rev_current,grants_orgs_us,expenses_total,phone,street,suite,city,state,country,zip,principal_name,firstname,middlename,lastname,suffix,web,org_type_corporation_cbx,org_type_trust_cbx,org_type_other_cbx,org_type_association_cbx,formation_year,legal_dom,efile,firm_name,firm_street,firm_city,firm_state,firm_phone,engaged_in_political_act_cbx,officer_loan_outstanding_cbx,officer_loan_provided_cbx,officer_business_rel_cbx,family_business_rel_cbx,officer_in_2orgs_cbx,related_org_cbx,own_controlled_entity_cbx,transfers_related_org_cbx,membership_dues,fundraising,related_orgs,gov_grants,contrib_other,contrib_noncash,contrib_all,service_revenue,total_comp_org,total_comp_related_org,total_comp_other,total_persons_100000,former_1a_cbx,anybody_150000_cbx,anybody_comp_unrelated_cbx,total_contractors,CASH_BOY,CASH_EOY,SAVINGS_BOY,SAVINGS_EOY,PLEDGES_GRANTS_BOY,PLEDGES_GRANTS_EOY,ACCOUNTS_RECEIVABLE_BOY,ACCOUNTS_RECEIVABLE_EOY,QUALIFIED_RECEIVABLE_BOY,QUALIFIED_RECEIVABLE_EOY,DISQUALIFIED_RECEIVABLE_BOY,DISQUALIFIED_RECEIVABLE_EOY,LOANS_RECEIVABLE_BOY,LOANS_RECEIVABLE_EOY,INVEST_PROGRAMS_BOY,INVEST_PROGRAMS_EOY,INTANG_ASSETS_BOY,INTANG_ASSETS_EOY,OTHER_ASSETS_BOY,OTHER_ASSETS_EOY,ASSETS_TOTAL_BOY,ASSETS_TOTAL_EOY,NET_ASSET_CHANGE,FUNDRAISING_MAIL_CBX,FUNDRAISING_EMAIL_CBX,FUNDRAISING_PHONE_CBX,FUNDRAISING_PERSON_CBX,FUNDRAISING_NON_GOV_GRANTS_CBX,FUNDRAISING_GOV_GRANTS_CBX,FUNDRAISING_SPECIAL_EVENTS_CBX,FUNDRAISING_PROF_CBX,FUNDRAISING_TOTAL_GROSS_RECEIPTS,TOTAL_PAID_TO_FUNDRAISER,FUNDRAISING_TOTAL_PAID_ORG,source,mark,orgid,cmteid,filingid,realcode,codesource,displayyear,expoutcands,recipfectot,recipfecattrib,schc,schCtot,dupe
9999462,521733698,"LEAGUE OF CONSERVATION VOTERS, INC.",League of Conservation Voters,NULL,https://www.documentcloud.org/documents/3221605-LCV-2015-990.html,NULL,4,00:00.0,00:00.0,NULL,NULL,NULL,NULL,NULL,650,114,20431957,3634566,19754215,202-785-8683,"1920 L STREET,",800,WASHINGTON,DC,USA,20036,GENE KARP INSKI,NULL,NULL,NULL,NULL,WWW.LCV.ORG,Y,NULL,NULL,NULL,1970,MD,N,"GELMAN, ROSENBERG & FREEDMAN",4550 MONTGOMERY AVE SUITE 650N,BETHESDA,MD,301-951-9090,Y,NULL,NULL,NULL,NULL,NULL,Y,NULL,NULL,NULL,NULL,NULL,NULL,20196294,14652,20369847,NULL,585745,0,59517,5,N,Y,N,21,827123,2346390,5343326,5185446,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16334,18637,8793365,9243824,NULL,Y,Y,Y,Y,Y,NULL,Y,Y,994620,234270,760350,os,a,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9999461,753148958,Americans for Prosperity,Americans for Prosperity,NULL,https://www.documentcloud.org/documents/3221497-AFP-2015-990.html,NULL,4,00:00.0,00:00.0,NULL,NULL,NULL,NULL,NULL,4658,NULL,44382585,497567,45727933,703-224-3200,1310 N Courthouse,700,Arlington,VA,USA,22201,Tim Phillips,Tim,NULL,Phillips,NULL,www.americansforprosperity.org,Y,NULL,NULL,NULL,2004,DC,N,Capin Crouse LLP,"972 Emerson Parkway, STE A",Greenwood,IN,317-885-2620,N,NULL,NULL,NULL,NULL,NULL,Y,NULL,NULL,NULL,NULL,NULL,NULL,44205731,NULL,44205731,NULL,1759702,2137790,303705,1,N,Y,N,49,5929326,4949047,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,653697,726760,7611462,6887540,NULL,Y,Y,Y,Y,Y,NULL,NULL,NULL,1782575,206387,1576088,os,NULL,D000024046,C30001051,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9999643,522267268,New Models,New Models,,http://pdfs.citizenaudit.org/2009_06_EO/52-2267268_990O_200812.pdf,NULL,NULL,00:00.0,00:00.0,NULL,NULL,NULL,NULL,NULL,0,0,0,491984,599638,NULL,NULL,NULL,NULL,NULL,USA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,n,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,OS,?,NULL,NULL,10493,NULL,NULL,2008,0,0,0,n,NULL,NULL
9999642,272429741,CENTER FORWARD,Center Forward,,http://990s.foundationcenter.org/990_pdf_archive/272/272429741/272429741_201212_990O.pdf?_ga=1.120303883.2093036525.1476740035,NULL,4,00:00.0,00:00.0,NULL,NULL,NULL,NULL,NULL,0,1,3853474,0,5688186,202-550-0888,325 7th Street NW,NULL,Washington,DC,USA,20004,Jeffries Murray,Jeffries,NULL,Murray,NULL,center-forward.org,y,NULL,NULL,NULL,2010,DC,NULL,Mark Heinitz,6433 Burwell Street,Springfield,VA,NULL,y,NULL,NULL,NULL,NULL,NULL,NULL,n,NULL,NULL,NULL,NULL,NULL,3852000,NULL,3852000,NULL,220201,NULL,7414,1,NULL,NULL,NULL,5,1968832,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1970723,134347,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,OS,a,NULL,NULL,11326,NULL,NULL,2012,2057089,0,0,y,2206831,NULL
9999641,272429741,BLUE DOG RESEARCH FORUM,Blue Dog Research Forum,,http://pdfs.citizenaudit.org/2011_12_EO/27-2429741_990O_201012.pdf,NULL,4,00:00.0,00:00.0,NULL,NULL,x,NULL,NULL,0,0,220000,0,130358,NULL,NULL,NULL,NULL,NULL,USA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,n,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,OS,?,NULL,NULL,10718,NULL,NULL,2010,0,0,0,n,NULL,NULL
9999640,272429741,CENTER FORWARD,Center Forward,,http://990s.foundationcenter.org/990_pdf_archive/272/272429741/272429741_201212_990O.pdf?_ga=1.120303883.2093036525.1476740035,NULL,4,00:00.0,00:00.0,NULL,x,NULL,NULL,NULL,0,1,2244000,0,364825,202-550-0888,325 7th Street NW,NULL,Washington,DC,USA,20004,Jeffries Murray,Jeffries,NULL,Murray,NULL,center-forward.org,y,NULL,NULL,NULL,2010,DC,NULL,Mark Heinitz,6433 Burwell Street,Springfield,VA,NULL,n,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,OS,a,NULL,NULL,10719,NULL,NULL,2011,0,0,0,n,NULL,NULL
9999639,272429741,CENTER FORWARD,Center Forward,,https://www.documentcloud.org/documents/1375708-center-forward-2013.html,NULL,4,00:00.0,00:00.0,NULL,NULL,NULL,NULL,x,0,1,1694735,0,547288,202-550-0888,325 7th Street NW,NULL,Washington,DC,USA,20004,Jeffries Murray,Jeffries,NULL,Murray,NULL,center-forward.org,y,NULL,NULL,NULL,2010,DC,NULL,Mark Heinitz,6433 Burwell Street,Springfield,VA,NULL,n,NULL,NULL,NULL,NULL,NULL,NULL,n,NULL,NULL,NULL,NULL,NULL,1694050,NULL,1694050,NULL,233177,NULL,7391,1,NULL,NULL,NULL,NULL,131973,1280092,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,134347,1285411,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,OS,a,NULL,NULL,11597,NULL,NULL,2013,0,0,0,n,NULL,NULL
9999638,274395336,Free Enterprise America,Free Enterprise America,,http://990s.foundationcenter.org/990_pdf_archive/274/274395336/274395336_201205_990EO.pdf?_ga=1.131708428.2093036525.1476740035,NULL,4,00:00.0,00:00.0,NULL,NULL,NULL,x,NULL,0,0,145,0,170,602-820-4600,2198 E Camelback Rd Ste 325,NULL,Phoenix,AZ,USA,85016,Sean Noble,Sean,NULL,Noble,NULL,NULL,y,NULL,NULL,NULL,NULL,NULL,NULL,Howard Sckolnik,11646 N 129th Way,Scottsdale,AZ,602-524-0974,n,NULL,NULL,NULL,NULL,NULL,NULL,n,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,OS,a,NULL,NULL,11831,NULL,NULL,2011,0,0,0,n,NULL,NULL
9999637,274395336,Free Enterprise America,Free Enterprise America,,https://www.documentcloud.org/documents/690450-free-enterprise-america-2011.html,NULL,4,00:00.0,00:00.0,NULL,NULL,NULL,NULL,NULL,0,0,5874087,5198000,5874062,602-820-4600,2198 E Camelback Rd Ste 325,NULL,Phoenix,AZ,USA,85016,Sean Noble,Sean,NULL,Noble,NULL,NULL,y,NULL,NULL,NULL,2010,VA,NULL,Howard Sckolnik,11646 N 129th Way,Scottsdale,AZ,602-524-0974,n,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5872745,NULL,5872745,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,OS,a,NULL,NULL,10391,NULL,NULL,2011,0,14476,14476,n,NULL,NULL
9999458,453593119,VETS FOR ECONOMIC FREEDOM TRUST,Vets for Economic Freedom,NULL,https://www.documentcloud.org/documents/3227624-CVA-2015-990.html,CONCERNED VETERANS FOR AMERICA,4,00:00.0,00:00.0,NULL,NULL,NULL,NULL,NULL,3970,92,14174523,500,13997969,703-678-4664,1405 S FERN ST,197,ARLINGTON,VA,USA,22202,RANDY LAIR,Randy,NULL,Lair,NULL,WWW.CV4A.ORG,NULL,Y,NULL,NULL,2011,DE,N,"BKD, LLP","1201 WALNUT, SUITE 1700",KANSAS CITY,MO,816-221-6300,N,N,N,N,N,N,Y,Y,NULL,NULL,NULL,NULL,NULL,14146971,NULL,14146971,NULL,607437,0,51150,5,n,n,n,4,206047,397776,690508,342285,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1197007,1124353,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,os,x,NULL,NULL,NULL,Y4000,NULL,2015,NULL,NULL,NULL,NULL,NULL,NULL
